Sample_ID,lat,lon,ele,Site,State,Region,Fine_region,Phylogroups
95-59,26.35567797,-111.802057,265.234619,95,BAJA,NORTH,BAJA,BAJA
95-61,26.35697868,-111.8031381,NA,95,BAJA,NORTH,BAJA,BAJA
96-01,24.04840004,-110.15008,NA,96,BAJA,NORTH,BAJA,BAJA
96-116,24.06528999,-110.17807,NA,96,BAJA,NORTH,BAJA,BAJA
96-204,24.01857002,-110.08942,NA,96,BAJA,NORTH,BAJA,BAJA
96-21,24.03377001,-110.12986,NA,96,BAJA,NORTH,BAJA,BAJA
96-212,24.04557601,-110.149598,617.449341,96,BAJA,NORTH,BAJA,BAJA
96-219,24.017344,-110.089493,565.186951,96,BAJA,NORTH,BAJA,BAJA
96-220N,24.01708902,-110.089289,558.896667,96,BAJA,NORTH,BAJA,BAJA
96-225,24.029814,-110.129487,746.150879,96,BAJA,NORTH,BAJA,BAJA
96-257,24.02159203,-110.103421,654.928101,96,BAJA,NORTH,BAJA,BAJA
96-275,24.01838603,-110.089957,558.354004,96,BAJA,NORTH,BAJA,BAJA
96-329,24.01431302,-110.087974,478.084259,96,BAJA,NORTH,BAJA,BAJA
96-42,24.01979,-110.09003,NA,96,BAJA,NORTH,BAJA,BAJA
96-43,24.01917997,-110.09042,NA,96,BAJA,NORTH,BAJA,BAJA
96-48,24.02081,-110.09072,NA,96,BAJA,NORTH,BAJA,BAJA
96-53,24.01753996,-110.09372,NA,96,BAJA,NORTH,BAJA,BAJA
96-59,24.01656004,-110.09303,NA,96,BAJA,NORTH,BAJA,BAJA
96-62A,24.01641998,-110.09478,NA,96,BAJA,NORTH,BAJA,BAJA
96-62B,24.01637002,-110.09474,NA,96,BAJA,NORTH,BAJA,BAJA
96-65,24.01889004,-110.09709,NA,96,BAJA,NORTH,BAJA,BAJA
96-66,24.02008002,-110.09705,NA,96,BAJA,NORTH,BAJA,BAJA
96-71,24.02074001,-110.0977,NA,96,BAJA,NORTH,BAJA,BAJA
96-72,24.01884,-110.09944,NA,96,BAJA,NORTH,BAJA,BAJA
96-72B,24.01884,-110.09944,NA,96,BAJA,NORTH,BAJA,BAJA
